기업명,문의 일자,진행 날짜,상태,진행 팀,담당자,문의경로,공간,디자인 팀,"제안서, 견적서"
아모레퍼시픽,2025-02-07,2025-02-27,진행 완료,기획조정팀,,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/67abf7dd29f7c51f124bf810/download, https://task-api.office.hiworks.com/v1/attached-files/67abf7dd29f7c51f124bf811/download, https://task-api.office.hiworks.com/v1/attached-files/67abf7dd29f7c51f124bf812/download"
삼보모터스,2025-02-07,2025-03-12,진행 완료,기획조정팀,,개인,,,
지란지교,2025-02-07,2025-05-31,진행 완료,기획조정팀,,개인,,,
티맵모빌리티,2025-02-10,,연기,기획조정1팀,"이서호, 한보라",홈페이지,요청 없음,,"https://task-api.office.hiworks.com/v1/attached-files/67bed39cac1ddd0f1c66984c/download, https://task-api.office.hiworks.com/v1/attached-files/67bed39cac1ddd0f1c66984d/download"
법무법인(유)율촌,2025-02-10,,취소,기획조정1팀,한보라,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67a9bf2564076102f99b0387/download, https://task-api.office.hiworks.com/v1/attached-files/67a9bf2564076102f99b0388/download"
과학기술인공제회,2025-02-10,2025-04-16,진행 완료,기획조정1팀,"이서호, 한보라",홈페이지,,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67a9bf7f64076102f99b03a2/download, https://task-api.office.hiworks.com/v1/attached-files/67a9bf7f64076102f99b03a3/download"
에스오엔컴퍼니,2025-02-12,2025-03-20,진행 완료,기획조정팀,,카카오톡,,,
휴젤,2025-02-11,2025-09-26,진행 완료,기획조정1팀,"안광열, 이서호, 조민채, 이우진, 이영준",홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68a4067c7a600e0fa4327789/download, https://task-api.office.hiworks.com/v1/attached-files/68a4067c7a600e0fa432778a/download"
KB금융지주 전략기획부,2025-02-11,,취소,기획조정팀,,홈페이지,,,
크림슨에듀케이션,2025-02-12,2025-03-06,진행 완료,기획조정1팀,이서호,,공간 계약 완료,디자인 요청,
엠키스코어,2025-02-13,,취소,기획조정팀,안광열,홈페이지,,,
디몬스터,2025-02-12,,취소,기획조정1팀,"이서호, 한보라",홈페이지,,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67aeda6e8e88dc2d75fdb0fa/download, https://task-api.office.hiworks.com/v1/attached-files/67aeda6e8e88dc2d75fdb0fb/download"
강남구청 일자리정책과,2025-02-10,2025-04-12,진행 완료,기획조정팀,"한보라, 안광열",전화,,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67adb02f329ed32306df01f7/download, https://task-api.office.hiworks.com/v1/attached-files/67da68ce5dc90f260340fb4c/download"
나르샤팜,2025-02-13,2025-03-30,진행 완료,기획조정팀,,전화,,,
